var1	var2
8.2695	0.055
9.4802	0.110
9.6648	0.148
9.8530	0.238
10.0435	0.274
10.7734	0.296
10.9334	0.307
10.9992	0.480
11.0821	0.490
11.2897	0.591
11.4807	0.621
11.8424	0.739
12.1620	0.744
12.3966	0.805
12.4001	0.822
12.5088	1.046
12.5265	1.131
12.5407	1.281
12.7129	1.291
12.7553	1.336
12.9346	1.338
13.0458	1.539
13.1101	1.609
13.1943	1.623
13.2597	1.735
13.2759	1.797
13.5152	1.827
13.5196	1.875
13.5268	1.891
13.8865	1.931
13.9112	2.023
13.9898	2.075
14.0443	2.100
14.1156	2.154
14.2694	2.237
14.4097	2.298
14.4522	2.314
14.4921	2.523
14.6273	2.547
14.6524	2.707
14.8696	2.737
14.9939	2.945
15.0346	3.015
15.0424	3.204
15.0433	3.241
15.0868	3.396
15.1282	3.408
15.3799	3.520
15.3917	3.548
15.4202	3.625
15.4290	4.100
15.5835	4.115
15.6791	4.219
15.7379	4.279
15.7810	4.292
15.7843	4.335
15.7912	4.394
15.8615	4.446
15.9021	4.466
15.9082	4.600
15.9271	4.939
15.9401	4.969
15.9647	5.167
16.0314	5.212
16.0501	5.273
16.0676	5.326
16.1305	5.432
16.1883	5.512
16.1887	5.564
16.2309	5.584
16.2683	5.655
16.4098	5.749
16.4469	5.773
16.5316	5.781
16.5526	5.795
16.5643	5.844
16.6704	5.951
16.8073	6.004
16.8255	6.056
16.8618	6.075
16.8843	6.527
16.8952	6.583
16.9921	6.604
17.0585	6.629
17.0901	6.634
17.1391	6.720
17.1544	6.779
17.2065	6.807
17.2069	6.833
17.2190	6.837
17.2197	6.910
17.3652	6.925
17.3961	7.253
17.4110	7.315
17.4783	7.372
17.5135	7.411
17.7017	7.643
17.7488	7.653
17.7800	7.665
17.7902	7.730
17.8182	7.746
17.8381	7.808
17.8382	7.873
17.9387	7.958
18.0676	8.104
18.1999	8.195
18.2134	8.331
18.2530	8.448
18.2812	8.644
18.4278	8.743
18.4479	8.771
18.5310	8.906
18.6006	8.908
18.7600	9.059
18.8347	9.100
18.8524	9.237
18.8941	9.389
18.9093	9.396
18.9775	9.603
19.0427	10.320
19.0760	10.384
19.0918	10.386
19.1353	10.603
19.1664	10.786
19.2762	10.880
19.3091	10.943
19.3525	11.187
19.3791	11.289
19.4254	11.439
19.5334	11.469
19.5728	11.472
19.6076	11.472
19.6369	11.773
19.7258	11.781
19.7468	11.787
19.7649	12.052
19.8430	12.083
19.9027	12.486
19.9490	12.593
20.0732	12.626
20.0920	12.641
20.1123	12.644
20.1810	12.646
20.1812	12.723
20.2351	12.879
20.2780	12.933
20.3833	12.992
20.3909	13.284
20.4203	13.416
20.4221	13.478
20.5161	13.543
20.5201	13.969
20.5918	14.521
20.6277	14.672
20.6346	14.807
20.7231	14.834
20.7416	14.877
20.8057	15.059
20.8335	15.373
20.9035	15.628
20.9721	15.647
21.0509	15.691
21.1103	15.967
21.1103	16.253
21.2404	16.439
21.2833	16.748
21.2899	16.834
21.3028	16.925
21.3533	17.195
21.3555	17.532
21.3823	17.687
21.4055	17.717
21.4157	17.967
21.4160	17.987
21.4411	18.109
21.4829	18.120
21.4916	18.150
21.5235	18.268
21.5277	18.285
21.6226	18.318
21.6562	18.469
21.7655	18.756
21.7732	18.762
21.8122	19.042
21.8682	19.048
21.8988	19.168
21.9086	19.572
21.9741	19.836
21.9891	20.289
22.0214	20.605
22.0330	20.691
22.1139	20.743
22.2212	20.940
22.3452	21.264
22.4133	21.422
22.4276	21.491
22.4551	21.558
22.4587	21.900
22.5110	22.002
22.6690	22.174
22.6743	22.323
22.7040	22.385
22.7170	22.458
22.7190	22.645
22.7241	22.668
22.7623	22.812
22.9253	23.054
22.9483	23.071
22.9628	23.111
22.9843	23.202
22.9965	23.235
23.1141	23.390
23.1218	23.622
23.1561	23.708
23.2011	23.837
23.2094	24.786
23.2224	25.041
23.2501	25.391
23.2527	25.408
23.2715	26.013
23.3368	26.166
23.3598	26.815
23.4704	26.869
23.4976	27.004
23.5879	27.233
23.5884	27.281
23.6207	27.336
23.7698	27.602
23.7701	27.699
23.8556	27.958
23.9544	27.987
23.9862	28.134
24.0087	28.513
24.0222	28.670
24.0876	28.834
24.1386	28.885
24.1429	28.943
24.1573	29.299
24.2938	31.062
24.3705	31.971
24.4147	32.025
24.4213	33.306
24.4312	34.974
24.4709	35.010
24.5118	35.530
24.5312	36.075
24.5927	36.091
24.5972	36.661
24.6338	36.759
24.8109	36.802
24.8422	37.875
24.8825	37.974
24.9881	38.025
25.1724	38.993
25.1878	39.452
25.2175	40.901
25.4021	41.127
25.4916	41.635
25.5089	42.069
25.5613	42.287
25.5679	42.827
25.6209	43.041
25.6255	43.145
25.6397	43.659
25.8563	44.499
25.9360	44.756
26.0853	45.208
26.1040	45.467
26.3662	45.680
26.4252	45.742
26.4301	45.764
26.4713	46.280
26.4911	46.392
26.5651	46.906
26.7530	49.364
26.8666	50.356
27.0747	51.524
27.2022	52.809
27.4009	53.826
27.4304	54.844
27.5005	59.991
27.5217	60.661
27.5746	60.764
28.1399	61.647
28.3087	62.449
28.6935	62.721
28.7658	63.298
28.9349	64.116
29.1555	64.936
29.7349	65.433
30.3256	66.150
30.5811	68.509
31.0824	72.642
31.2674	72.724
31.4541	79.060
31.7422	82.636
32.0783	84.750
32.4235	92.115
32.4331	99.558
34.5987	131.378
